Date/Time,Occupancy,Temperature,Humidity,CO2
 01/30  00:10:00,0.0,10.08011370818484,0.006280003225062097,400.0000000002602 
 01/30  00:20:00,0.0,9.881718053842633,0.006235520809492691,400.00000000014455 
 01/30  00:30:00,0.0,9.69178316790848,0.00616711815129877,400.00000000007253 
 01/30  00:40:00,0.0,9.502650267250099,0.006088820641100265,400.00000000003337 
 01/30  00:50:00,0.0,9.312231547288723,0.006008182569862497,400.0000000000151 
 01/30  01:00:00,0.0,9.121009687706968,0.005927655946595666,400.00000000000745 
 01/30  01:10:00,0.0,8.98231086978737,0.005861562020586265,400.00000000000415 
 01/30  01:20:00,0.0,8.893748829047798,0.0058116996552839365,400.00000000000244 
 01/30  01:30:00,0.0,8.827467366409826,0.005772238316841474,400.00000000000136 
 01/30  01:40:00,0.0,8.76415070927093,0.0057372869933837636,400.0000000000007 
 01/30  01:50:00,0.0,8.698666681273389,0.005703662741809839,400.0000000000003 
 01/30  02:00:00,0.0,8.632369550829278,0.0056703501868359645,400.00000000000017 
 01/30  02:10:00,0.0,8.540901903986704,0.00563468071667155,400.00000000000006 
 01/30  02:20:00,0.0,8.425749887741585,0.005596311328499709,400.0 
 01/30  02:30:00,0.0,8.30015328706609,0.005556250729670098,400.0 
 01/30  02:40:00,0.0,8.173193465943173,0.005515513200027926,400.00000000000006 
 01/30  02:50:00,0.0,8.047219192951475,0.005474640993244542,400.00000000000006 
 01/30  03:00:00,0.0,7.921537765125846,0.005433804242996985,400.0000000000001 
 01/30  03:10:00,0.0,7.817021475563683,0.005394247371108784,400.00000000000017 
 01/30  03:20:00,0.0,7.732351559771049,0.005356185388828166,400.00000000000006 
 01/30  03:30:00,0.0,7.656303620139755,0.005319173587492936,400.0 
 01/30  03:40:00,0.0,7.581280002330419,0.00528273751558868,400.0 
 01/30  03:50:00,0.0,7.505363407398334,0.00524661542807005,400.0 
 01/30  04:00:00,0.0,7.429138171505877,0.005210722196005611,400.0 
 01/30  04:10:00,0.0,7.404697734906849,0.005196566002637211,400.0 
 01/30  04:20:00,0.0,7.429259545533557,0.005207290687686579,399.99999999999994 
 01/30  04:30:00,0.0,7.475785598063387,0.0052341734751935095,399.9999999999999 
 01/30  04:40:00,0.0,7.525883400201467,0.005268155825246918,399.99999999999994 
 01/30  04:50:00,0.0,7.574838393283793,0.005304254320314367,400.0 
 01/30  05:00:00,0.0,7.623997258387419,0.005340837622714599,400.00000000000006 
 01/30  05:10:00,0.0,7.649128158762914,0.005366684873323388,400.00000000000006 
 01/30  05:20:00,0.0,7.651489757048944,0.005380212920266954,400.0000000000001 
 01/30  05:30:00,0.0,7.644014976243982,0.005385832983284469,400.0000000000001 
 01/30  05:40:00,0.0,7.635605840124781,0.005388080957748306,400.0000000000001 
 01/30  05:50:00,0.0,7.628552169178794,0.005389426848252639,400.00000000000006 
 01/30  06:00:00,0.0,7.6221653607200945,0.005390664252789159,400.00000000000006 
 01/30  06:10:00,0.0,7.637146838537201,0.005403880424224844,400.00000000000006 
 01/30  06:20:00,0.0,7.672331979021244,0.00543085930239354,400.00000000000006 
 01/30  06:30:00,0.0,7.7167749549062,0.005466820932026622,400.00000000000006 
 01/30  06:40:00,0.0,7.762882419166949,0.0055068024883566736,400.00000000000006 
 01/30  06:50:00,0.0,7.808612390963882,0.005548081427342875,400.00000000000006 
 01/30  07:00:00,0.0,7.854485494845024,0.00558977260692719,400.00000000000006 
 01/30  07:10:00,0.0,7.905439272403563,0.0056190336713303896,400.00000000000006 
 01/30  07:20:00,0.0,7.961371846770713,0.005633877468285857,400.00000000000006 
 01/30  07:30:00,0.0,8.019867055549781,0.005639274524825661,400.00000000000006 
 01/30  07:40:00,0.0,8.079219421842378,0.005640427280194584,400.0 
 01/30  07:50:00,0.0,8.138950981449312,0.005640197735189774,400.0 
 01/30  08:00:00,0.0,8.19914930356879,0.0056395173615330476,400.0 
 01/30  08:10:00,0.0,8.281589532558241,0.005648237961121944,399.99999999999994 
 01/30  08:20:00,0.0,8.385589653613703,0.0056677529662973935,399.9999999999999 
 01/30  08:30:00,0.0,8.499964298369198,0.005694128364875011,399.99999999999994 
 01/30  08:40:00,0.0,8.616778863471556,0.005723304681874098,400.0 
 01/30  08:50:00,0.0,8.733794268358729,0.005753055674163126,400.0 
 01/30  09:00:00,0.0,8.85146058923637,0.005782651134198322,400.00000000000006 
 01/30  09:10:00,452.8032832098,8.922391325117005,0.007071286698309371,591.0343270711373 
 01/30  09:20:00,452.8032832098,8.947737643490226,0.007083545860896448,810.1279867830018 
 01/30  09:30:00,452.8032832098,8.951864220420447,0.007085543535087674,951.8566375563241 
 01/30  09:40:00,452.8032832098,8.952406417576519,0.007085806266492757,1013.1100911382771 
 01/30  09:50:00,452.8032832098,8.954639560938665,0.007086887527935903,1030.0055036005715 
 01/30  10:00:00,452.8032832098,8.957716703455635,0.0070883777077839095,1032.3155097476538 
 01/30  10:10:00,214.37291523899998,8.960207191466845,0.007089584051104164,932.4844195258801 
 01/30  10:20:00,214.37291523899998,8.96176225388721,0.007090337329264465,818.811329902332 
 01/30  10:30:00,214.37291523899998,8.96263241405297,0.007090758928316417,745.9790768294512 
 01/30  10:40:00,214.37291523899998,8.963156865973644,0.007091013053642344,714.9083142998011 
 01/30  10:50:00,214.37291523899998,8.963516103287944,0.007091187018675304,706.5488004552803 
 01/30  11:00:00,214.37291523899998,8.963735656010309,0.007091293525047884,705.4927473464606 
 01/30  11:10:00,239.393969949,9.011895507870495,0.007115842600344742,715.7181958439862 
